Start: [-626.0, -138.0]
Goal: [-625.9065, -137.78468]
X:   15, Y:  120 -- Position: -625.906494, -137.782578 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595139 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782639 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595200 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782700 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595261 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782761 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595322 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782822 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595383 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782883 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595444 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.782944 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595505 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783005 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595566 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783066 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595627 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783127 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595688 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783188 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595749 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783249 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595810 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783310 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595871 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783371 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595932 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783432 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.595993 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783493 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596054 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783554 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596115 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783615 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596176 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783676 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596237 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783737 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596298 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783798 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596359 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783859 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596420 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783920 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596481 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.783981 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596542 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784042 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596603 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784103 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596664 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784164 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596725 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784225 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596786 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784286 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596848 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784348 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596909 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784409 (-2.1875)
X:  -15, Y: -121 -- Position: -625.906494, -135.596970 (+2.1874359)
X:   15, Y:  120 -- Position: -625.906494, -137.784470 (-2.1875)
